iter	Passed	Remaining
0	3	374
1	7	386
2	10	329
3	11	283
4	14	272
5	17	268
6	18	250
7	20	235
8	22	222
9	23	212
10	25	202
11	26	195
12	28	192
13	30	187
14	34	197
15	37	197
16	40	195
17	43	198
18	49	210
19	52	208
20	53	202
21	55	198
22	57	194
23	62	196
24	64	193
25	66	189
26	68	185
27	70	181
28	72	177
29	75	176
30	78	174
31	80	171
32	82	167
33	84	164
34	87	161
35	89	158
36	91	156
37	94	153
38	95	149
39	97	146
40	99	143
41	100	139
42	104	138
43	108	137
44	110	135
45	113	132
46	115	130
47	118	128
48	122	127
49	124	124
50	127	122
51	130	120
52	133	118
53	137	117
54	139	114
55	141	111
56	144	108
57	146	105
58	149	104
59	152	101
60	154	99
61	156	96
62	158	93
63	161	90
64	164	88
65	167	86
66	170	83
67	172	81
68	174	78
69	176	75
70	180	73
71	182	71
72	185	68
73	187	65
74	189	63
75	193	61
76	196	58
77	199	56
78	201	53
79	203	50
80	206	48
81	209	46
82	212	43
83	215	40
84	217	38
85	219	35
86	223	33
87	226	30
88	228	28
89	230	25
90	232	23
91	234	20
92	238	17
93	241	15
94	243	12
95	245	10
96	248	7
97	250	5
98	254	2
99	256	0
